__atable_index,file_path,corpus,size_bytes,sha256,row_created,row_updated
"('satellogic_all/boats2020/image_20200508-092838-434_0085-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092838-434_0085-u8be-1x5120x5120.raw,boats2020,26214400,f582853dae0d6430842db0d1cec1b3d0b9e159c0120af51a35801a70764d837c,2022-02-10T08:24:44.897363,2022-02-10T08:24:44.898455
"('satellogic_all/boats2020/image_20200508-092839-319_0099-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092839-319_0099-u8be-1x5120x5120.raw,boats2020,26214400,1ccf94947ba34ce29821a34b64c570b7bd23517da37e6e5819137bc95995d80c,2022-02-10T08:24:44.906348,2022-02-10T08:24:44.907770
"('satellogic_all/boats2020/image_20200508-092839-825_0107-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092839-825_0107-u8be-1x5120x5120.raw,boats2020,26214400,2d11a92072cf1ed2738ecaf3980b82fa09b12260519283ae08545a63f2277d3f,2022-02-10T08:24:44.905487,2022-02-10T08:24:44.907547
"('satellogic_all/boats2020/image_20200508-092840-331_0115-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200508-092840-331_0115-u8be-1x5120x5120.raw,boats2020,26214400,adb8286a926b14bcf556e4994550eddcf51853a3e16af9404dddcceffb9b92cc,2022-02-10T08:24:44.915282,2022-02-10T08:24:44.916592
"('satellogic_all/boats2020/image_20200511-051227-745_0091-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200511-051227-745_0091-u8be-1x5120x5120.raw,boats2020,26214400,78d5697fb7c9a778430d7ce697c7bf534197a89e746bb1a96e3905763a3c1f46,2022-02-10T08:24:44.920748,2022-02-10T08:24:44.921726
"('satellogic_all/boats2020/image_20200511-051228-124_0097-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200511-051228-124_0097-u8be-1x5120x5120.raw,boats2020,26214400,f2f29cc8ce82ff4f4d307036ec5bbc642ee569bca380ffa05633f389771cd65b,2022-02-10T08:24:44.936759,2022-02-10T08:24:44.938091
"('satellogic_all/boats2020/image_20200511-051229-136_0113-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200511-051229-136_0113-u8be-1x5120x5120.raw,boats2020,26214400,9942e4800f54e5311cd7ba43cd929e0c311df1c1aa8f49eaa2045d9c88042542,2022-02-10T08:24:44.942350,2022-02-10T08:24:44.943483
"('satellogic_all/boats2020/image_20200516-074719-603_0057-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200516-074719-603_0057-u8be-1x5120x5120.raw,boats2020,26214400,9442e85361ecea4e44d3394de64f67964508a8f6f537c2774ccfb32bbd3e91a6,2022-02-10T08:24:44.947939,2022-02-10T08:24:44.949377
"('satellogic_all/boats2020/image_20200527-215649-751_0201-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200527-215649-751_0201-u8be-1x5120x5120.raw,boats2020,26214400,535e97e129469ca3932827d95f26a594a0ebc9c0de90c967f7bd47951fa2cd0f,2022-02-10T08:24:44.967065,2022-02-10T08:24:44.968489
"('satellogic_all/boats2020/image_20200530-020548-527_0309-u8be-1x5120x5120.raw',)",satellogic_all/boats2020/image_20200530-020548-527_0309-u8be-1x5120x5120.raw,boats2020,26214400,e91587aec649035168d6a7dcffe8d2cc74dfff22c13498ed910dce7b34ac60d7,2022-02-10T08:24:44.962153,2022-02-10T08:24:44.963507
